"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,1254.45833333333,418.152777777778,3.05996544364265,0.0605895653404785
"Residuals",15,2049.79166666667,136.652777777778,NA,NA
