mouse_id,sex,epoch_E1_snack_frequency,epoch_E2_snack_frequency,epoch_E3_snack_frequency,epoch_E4_snack_frequency
FEDXC01,M,0.5927108538927832,0.9648297072258004,0.387027627818355,1.007521427322022
FEDXC02,M,1.7943631027528657,2.01459288435462,1.167199317148699,2.151121082950651
FEDXC03,M,2.282490096430783,2.204597392122597,1.7566921606118546,2.352799951983674
FEDXC04,M,2.4485363460567555,1.6547181291500226,1.5874542048638167,1.8089067694242849
FEDXC05,M,1.7177487587477946,1.919990489211199,1.1414115256668194,1.1908620784233546
FEDXC06,M,0.959279657484196,1.34986471620135,0.7404827071410798,1.148552428460571
