"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,1.19902795765679,0.399675985885597,6.1798984484382,0.00603224594516483
"Residuals",15,0.970103285402541,0.0646735523601694,NA,NA
