mouse_id,sex,epoch_E1_mega_meal_size,epoch_E2_mega_meal_size,epoch_E3_mega_meal_size,epoch_E4_mega_meal_size
FEDXC01,M,8.027777777777779,6.947368421052632,7.421052631578948,6.571428571428571
FEDXC02,M,7.263157894736842,6.8,7.515151515151516,7.0
FEDXC03,M,7.161290322580645,9.2,8.390243902439025,6.642857142857143
FEDXC04,M,8.0,6.705882352941177,7.241379310344827,7.238095238095238
FEDXC05,M,7.0,7.5,7.4,7.327272727272727
FEDXC06,M,7.324324324324325,6.833333333333333,7.2,6.833333333333333
