"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,1.26881107535648,0.422937025118828,1.16695170567093,0.35512472924405
"Residuals",15,5.43643352672847,0.362428901781898,NA,NA
