mouse,order,E1,E2,E3,E4
FEDXC01,2,2.9081364829396326,2.3091684434968016,3.5137362637362637,2.2266949152542375
FEDXC02,2,2.164451827242525,1.8619119878603945,2.397482014388489,1.830188679245283
FEDXC03,2,1.83125,1.9696485623003195,2.3118811881188117,1.7840236686390532
FEDXC04,2,1.858611825192802,2.1200631911532386,2.281391830559758,2.1156773211567734
FEDXC05,2,2.045751633986928,2.295336787564767,2.703891708967851,2.734472049689441
FEDXC06,2,2.543524416135881,2.1298701298701297,2.70230607966457,2.2365988909426986
FEDXC07,1,2.0386473429951693,1.833810888252149,1.9063492063492065,2.542976939203354
FEDXC08,1,1.8356940509915014,2.0211382113821137,2.2118055555555554,2.8786610878661087
FEDXC09,1,2.0723684210526314,2.0390015600624025,2.043613707165109,2.2750809061488675
FEDXC10,1,3.1619718309859155,2.950920245398773,2.9303944315545243,3.079185520361991
FEDXC11,1,2.074603174603175,2.069952305246423,2.234295415959253,3.142857142857143
FEDXC12,1,2.0350877192982457,2.4210526315789473,2.8203125,3.5098039215686274
