"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,102238.791666666,34079.5972222221,2.78086595277992,0.0771586814519944
"Residuals",15,183825.458333334,12255.0305555556,NA,NA
