"epoch","n","mean","sd","median","min","max"
"epoch_E1_number_of_pellets",6,1217.16666666667,69.493644793367,1218,1108,1311
"epoch_E2_number_of_pellets",6,1300.83333333333,246.801472172811,1230,1083,1772
"epoch_E3_number_of_pellets",6,1401.33333333333,128.303806126968,1367,1279,1598
"epoch_E4_number_of_pellets",6,1313.16666666667,244.964827407256,1235.5,1051,1761
