mouse,order,E1,E2,E3,E4
FEDXC01,2,381,469,364,472
FEDXC02,2,602,659,556,689
FEDXC03,2,640,626,606,676
FEDXC04,2,778,633,661,657
FEDXC05,2,612,772,591,644
FEDXC06,2,471,539,477,541
FEDXC07,1,621,698,630,477
FEDXC08,1,706,615,576,478
FEDXC09,1,608,641,642,618
FEDXC10,1,426,489,431,442
FEDXC11,1,630,629,589,364
FEDXC12,1,684,570,512,459
