mouse,order,E1,E2,E3,E4
FEDXC01,2,1108,1083,1279,1051
FEDXC02,2,1303,1227,1333,1261
FEDXC03,2,1172,1233,1401,1206
FEDXC04,2,1446,1342,1508,1390
FEDXC05,2,1252,1772,1598,1761
FEDXC06,2,1198,1148,1289,1210
FEDXC07,1,1266,1280,1201,1213
FEDXC08,1,1296,1243,1274,1376
FEDXC09,1,1260,1307,1312,1406
FEDXC10,1,1347,1443,1263,1361
FEDXC11,1,1307,1302,1316,1144
FEDXC12,1,1392,1380,1444,1611
