mouse_id,sex,epoch_E1_mega_meal_frequency,epoch_E2_mega_meal_frequency,epoch_E3_mega_meal_frequency,epoch_E4_mega_meal_frequency
FEDXC01,M,0.2155312195973757,0.1131590397363593,0.3393934582407114,0.0839601189435018
FEDXC02,M,0.2242953878441081,0.0894050096607079,0.1965182523770768,0.0539278265920776
FEDXC03,M,0.1828351240034994,0.1792355603351705,0.2449808795411089,0.0840285697137026
FEDXC04,M,0.1234556140868952,0.1011877992645697,0.1730683155678597,0.1257849078076489
FEDXC05,M,0.1062525005411007,0.2139927480235392,0.2689189458377323,0.3291327352426357
FEDXC06,M,0.2177505970976395,0.107037730800107,0.1791490420502612,0.0717845267787856
