"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,0.0446653460513198,0.0148884486837733,3.1084954203097,0.0581348828620083
"Residuals",15,0.0718439952645479,0.0047895996843032,NA,NA
