"Effect","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"epoch",13904.9829723938,4634.99432413126,3,135.000000009123,6.87680119288134,0.00024060610887258
"day_in_epoch_factor",8609.98809523792,1434.99801587299,6,135.000000009877,2.12906324738322,0.0539268436962169
"epoch:day_in_epoch_factor",42837.4404761909,2379.85780423283,18,135.000000007673,3.53092319915704,1.2646529230492e-05
