"epoch","day_in_epoch","n","mean","sd","median","min","max"
"E1",1,6,180,21.651789764359,187,147,205
"E1",2,6,174.666666666667,25.5629940865046,165,147,219
"E1",3,6,167,24.3063777638709,171,132,197
"E1",4,6,173.833333333333,17.9935173511647,168.5,152,205
"E1",5,6,186.5,23.3130864537495,188,158,219
"E1",6,6,178,18.4932420089069,174,155,207
"E1",7,6,144.666666666667,65.5398097850968,163.5,13,191
"E2",1,6,142.833333333333,16.6903165538185,147,122,164
"E2",2,6,160.666666666667,23.796358264799,160.5,132,202
"E2",3,6,173.166666666667,31.5621080833753,171,137,228
"E2",4,6,186.5,39.8735501303809,173.5,150,261
"E2",5,6,197.5,35.4273905333148,187,164,265
"E2",6,6,207,54.2033209314706,185,169,313
"E2",7,6,203.666666666667,50.5357958942636,194,149,296
"E3",1,6,220.5,25.3120524651795,216,188,262
"E3",2,6,211.333333333333,18.5867336201568,207,187,240
"E3",3,6,193.666666666667,12.8166558300778,190.5,176,211
"E3",4,6,188.5,26.3267924366034,176.5,163,230
"E3",5,6,187.166666666667,19.4876028968846,181.5,165,218
"E3",6,6,187.833333333333,25.3646735966909,182,162,230
"E3",7,6,193.5,17.7848249921106,192,168,219
"E4",1,6,148.666666666667,22.8793939313669,146,118,189
"E4",2,6,172,32.7291918629226,171.5,124,219
"E4",3,6,173.166666666667,37.9020667862145,167,115,219
"E4",4,6,197.5,40.6878360201179,178.5,165,264
"E4",5,6,186.5,57.8368394710499,186.5,101,282
"E4",6,6,204,42.3036641439013,188,162,275
"E4",7,6,214.666666666667,46.9751707465408,198.5,169,283
