"contrast","estimate","SE","df","t.ratio","p.value"
"E1 - E2",-9.52380952380922,5.66528446327145,134.999999999999,-1.68108231555766,0.190118196618218
"E1 - E3",-25.4047619047616,5.66528446327144,134.999999999998,-4.48428707675016,9.2925013423662e-05
"E1 - E4",-13.1190476190473,5.66528446327145,134.999999999998,-2.3156908896807,0.0883294494778938
"E2 - E3",-15.8809523809524,5.66528446327144,135,-2.8032047611925,0.0290281398005318
"E2 - E4",-3.59523809523808,5.66528446327144,135,-0.634608574123036,0.526757730619653
"E3 - E4",12.2857142857143,5.66528446327144,135,2.16859618706946,0.0955969607181031
