"contrast","estimate","SE","df","t.ratio","p.value"
"E1 - E2",1.14285714285714,0.517810766822886,135,2.20709420522353,0.0579937538524106
"E1 - E3",-1.33333333333333,0.517810766822886,135,-2.57494323942745,0.0444103558365904
"E1 - E4",1.33333333333333,0.517810766822886,135,2.57494323942745,0.0444103558365904
"E2 - E3",-2.47619047619047,0.517810766822886,135,-4.78203744465098,2.23933755270792e-05
"E2 - E4",0.19047619047619,0.517810766822886,134.999999999999,0.367849034203921,0.71356190301129
"E3 - E4",2.66666666666667,0.517810766822886,135,5.1498864788549,5.414715493954e-06
