"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,12712.1666666667,4237.38888888888,8.36070066207741,0.00166774553007613
"Residuals",15,7602.33333333334,506.822222222223,NA,NA
