"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,0.153278377656876,0.0510927925522921,4.44192447807866,0.0200821812651391
"Residuals",15,0.17253600147112,0.0115024000980746,NA,NA
