mouse_id,sex,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29
FEDXC01,M,4,4,3,4,0,6,7,8,8,2,2,3,2,2,2,6,10,8,8,7,7,9,8,1,1,0,1,2,4,4
FEDXC02,M,7,6,5,3,7,5,6,6,6,0,0,1,3,1,3,7,6,6,3,4,2,6,6,1,2,1,1,0,2,2
FEDXC03,M,5,4,2,3,1,8,6,7,3,1,1,5,4,6,5,7,15,4,2,6,4,5,3,1,3,1,0,2,3,3
FEDXC04,M,8,0,1,4,2,4,4,3,0,2,3,3,1,1,4,2,4,2,5,5,3,6,4,3,1,4,3,0,6,4
FEDXC05,M,9,4,4,1,3,1,3,3,3,0,1,3,5,5,12,6,6,12,6,5,5,7,4,4,4,3,10,9,10,13
FEDXC06,M,9,9,7,5,7,7,6,4,1,0,1,1,3,5,5,3,7,8,6,5,1,2,1,0,1,0,2,2,4,3
