"contrast","epoch","estimate","SE","df","t.ratio","p.value"
"day_in_epoch_factor2 - day_in_epoch_factor6","E3",-0.500000000000004,5.79663563692563,135,-0.0862569309712883,1
"day_in_epoch_factor2 - day_in_epoch_factor7","E3",-2.5,5.79663563692563,135,-0.431284654856439,1
"day_in_epoch_factor3 - day_in_epoch_factor4","E3",0.333333333333329,5.79663563692563,134.999999999999,0.0575046206475245,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E3",-7.33333333333333,5.79663563692562,134.999999999999,-1.26510165424555,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E3",-2.66666666666667,5.79663563692563,135,-0.460036965180201,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E3",-4.66666666666667,5.79663563692563,135,-0.805064689065352,1
"day_in_epoch_factor4 - day_in_epoch_factor5","E3",-7.66666666666666,5.79663563692563,134.999999999999,-1.32260627489308,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E3",-3,5.79663563692562,134.999999999999,-0.517541585827726,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E3",-5,5.79663563692563,134.999999999999,-0.862569309712876,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E3",4.66666666666667,5.79663563692563,135,0.805064689065352,1
"day_in_epoch_factor5 - day_in_epoch_factor7","E3",2.66666666666667,5.79663563692562,135,0.460036965180201,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E3",-2,5.79663563692562,135,-0.345027723885151,1
"day_in_epoch_factor1 - day_in_epoch_factor2","E4",-0.666666666666583,5.79663563692563,135.000000000002,-0.115009241295036,1
"day_in_epoch_factor1 - day_in_epoch_factor3","E4",-5.99999999999993,5.79663563692563,135,-1.03508317165544,1
"day_in_epoch_factor1 - day_in_epoch_factor4","E4",-2.83333333333326,5.79663563692563,135.000000000002,-0.488789275503951,1
"day_in_epoch_factor1 - day_in_epoch_factor5","E4",-9.33333333333326,5.79663563692563,135.000000000002,-1.61012937813069,1
"day_in_epoch_factor1 - day_in_epoch_factor6","E4",2.50000000000008,5.79663563692563,135.000000000002,0.431284654856452,1
"day_in_epoch_factor1 - day_in_epoch_factor7","E4",8.17124146124115e-14,5.79663563692563,135.000000000002,1.409652421344e-14,1
"day_in_epoch_factor2 - day_in_epoch_factor3","E4",-5.33333333333334,5.79663563692563,135,-0.920073930360404,1
"day_in_epoch_factor2 - day_in_epoch_factor4","E4",-2.16666666666668,5.79663563692563,135,-0.373780034208915,1
"day_in_epoch_factor2 - day_in_epoch_factor5","E4",-8.66666666666667,5.79663563692562,135,-1.49512013683565,1
"day_in_epoch_factor2 - day_in_epoch_factor6","E4",3.16666666666666,5.79663563692563,135,0.546293896151488,1
"day_in_epoch_factor2 - day_in_epoch_factor7","E4",0.666666666666665,5.79663563692562,135,0.11500924129505,1
"day_in_epoch_factor3 - day_in_epoch_factor4","E4",3.16666666666667,5.79663563692563,135,0.546293896151488,1
"day_in_epoch_factor3 - day_in_epoch_factor5","E4",-3.33333333333333,5.79663563692563,135,-0.57504620647525,1
"day_in_epoch_factor3 - day_in_epoch_factor6","E4",8.50000000000001,5.79663563692563,135,1.46636782651189,1
"day_in_epoch_factor3 - day_in_epoch_factor7","E4",6.00000000000001,5.79663563692563,135,1.03508317165545,1
"day_in_epoch_factor4 - day_in_epoch_factor5","E4",-6.49999999999999,5.79663563692563,135,-1.12134010262674,1
"day_in_epoch_factor4 - day_in_epoch_factor6","E4",5.33333333333334,5.79663563692563,135,0.920073930360403,1
"day_in_epoch_factor4 - day_in_epoch_factor7","E4",2.83333333333334,5.79663563692562,135,0.488789275503965,1
"day_in_epoch_factor5 - day_in_epoch_factor6","E4",11.8333333333333,5.79663563692563,135,2.04141403298714,0.906314854927299
"day_in_epoch_factor5 - day_in_epoch_factor7","E4",9.33333333333334,5.79663563692563,135,1.6101293781307,1
"day_in_epoch_factor6 - day_in_epoch_factor7","E4",-2.5,5.79663563692563,135,-0.431284654856438,1
