mouse_id,sex,epoch_E1_meal_frequency,epoch_E2_meal_frequency,epoch_E3_meal_frequency,epoch_E4_meal_frequency,,,,
FEDXC01,M,1.472796667248734,1.7271642907128524,1.4468879009209274,1.7451710437542167,,,,
FEDXC02,M,1.5641652047023331,1.8298225310558236,1.9532723266570065,1.929417795849888,,,,
FEDXC03,M,1.3388249402836894,1.3681647772251349,1.6491395793499042,1.632555068723366,,,,
FEDXC04,M,1.865551501757528,2.0237559852913947,2.2021451187772496,2.0125585249223827,,,,
FEDXC05,M,1.8299041759856232,2.4668608452713547,2.1393996135535147,2.3458187675475126,,,,
FEDXC06,M,1.6243017513229328,1.7542294770017544,1.9407812888778304,2.021930837602464,,,,
