"Effect","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"epoch    ",3,0.384956995725888,0.128318998575296,7.47891932012973,0.0027338955797953
"Residuals",15,0.257361377525336,0.0171574251683558,NA,NA
