MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2022-09-19 08:52:01,1.16.3,Free_feed,1,3.9,4.0,0,Pellet,Left,0,0,1,0,,,,0 days 00:00:00.000000000,1.0,,0.0,0.0,,0,Free_feed
2022-09-19 08:52:29,1.16.3,Free_feed,1,3.9,1.0,0,Pellet,Left,0,0,2,0,16.59,28.0,,0 days 00:00:28.000000000,1.0,,0.0,0.0,,0,Free_feed
2022-09-19 08:55:35,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,3,0,,185.0,,0 days 00:03:34.000000000,1.0,3.1,0.0,0.0,,0,Free_feed
2022-09-19 08:57:16,1.16.3,Free_feed,1,3.9,1.0,0,Pellet,Left,0,0,4,0,,102.0,,0 days 00:05:15.000000000,1.0,1.6833333333333333,0.0,0.0,,0,Free_feed
2022-09-19 09:01:28,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,5,0,,252.0,,0 days 00:09:27.000000000,1.0,4.2,0.0,0.0,,0,Free_feed
2022-09-19 09:08:18,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,6,0,,410.0,,0 days 00:16:17.000000000,1.0,6.833333333333333,0.0,0.0,,0,Free_feed
2022-09-19 09:08:33,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,7,0,2.65,15.0,,0 days 00:16:32.000000000,1.0,0.25,0.0,0.0,,0,Free_feed
2022-09-19 09:08:47,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,8,0,2.31,14.0,,0 days 00:16:46.000000000,1.0,0.23333333333333334,0.0,0.0,,0,Free_feed
2022-09-19 10:19:33,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,9,0,,4245.0,,0 days 01:27:32.000000000,1.0,70.76666666666667,0.0,0.0,,0,Free_feed
2022-09-19 10:19:47,1.16.3,Free_feed,1,3.89,2.0,0,Pellet,Left,0,0,10,0,0.95,15.0,,0 days 01:27:46.000000000,1.0,0.23333333333333334,0.0,0.0,,0,Free_feed
2022-09-19 10:20:04,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,11,0,4.83,17.0,,0 days 01:28:03.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2022-09-19 10:20:22,1.16.3,Free_feed,1,3.89,2.0,0,Pellet,Left,0,0,12,0,6.06,18.0,,0 days 01:28:21.000000000,1.0,0.3,0.0,0.0,,0,Free_feed
2022-09-19 10:24:20,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,13,0,,238.0,,0 days 01:32:19.000000000,1.0,3.966666666666667,0.0,0.0,,0,Free_feed
2022-09-19 10:29:45,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,14,0,,325.0,,0 days 01:37:44.000000000,1.0,5.416666666666667,0.0,0.0,,0,Free_feed
2022-09-19 11:59:38,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,15,0,,5393.0,,0 days 03:07:37.000000000,1.0,89.88333333333334,0.0,0.0,,0,Free_feed
2022-09-19 11:59:51,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,16,0,1.42,13.0,,0 days 03:07:50.000000000,1.0,0.21666666666666667,0.0,0.0,,0,Free_feed
2022-09-19 12:00:08,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,17,0,5.17,17.0,,0 days 03:08:07.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2022-09-19 12:00:25,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,18,0,5.17,17.0,,0 days 03:08:24.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2022-09-19 12:00:46,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,19,0,9.61,21.0,,0 days 03:08:45.000000000,1.0,0.35,0.0,0.0,,0,Free_feed
2022-09-19 12:01:06,1.16.3,Free_feed,1,3.89,3.0,0,Pellet,Left,0,0,20,0,4.42,20.0,,0 days 03:09:05.000000000,1.0,0.3333333333333333,0.0,0.0,,0,Free_feed
2022-09-19 12:01:23,1.16.3,Free_feed,1,3.89,2.0,0,Pellet,Left,0,0,21,0,2.85,17.0,,0 days 03:09:22.000000000,1.0,0.2833333333333333,0.0,0.0,,0,Free_feed
2022-09-19 13:48:59,1.16.3,Free_feed,1,3.89,1.0,0,Pellet,Left,0,0,22,0,,6456.0,,0 days 04:56:58.000000000,1.0,107.6,0.0,0.0,,0,Free_feed
